reviews,ratings
"Overall a fun game, many people dislike the fact that upgrade times and costs are very high but that is just the more realistic part of the game, not like most other city building games. One thing that I've noticed is that people have very different but very interuptive bugs, not often do people have the same bugs. The game is very strategic and it does take time to become good at it but there are many YouTube videos and tutorials to help with that. It also has some internet connection problems.",4
"This game is full of strategies to play with, for example farming resources, trophy pushing and etc. I've I've playing this game for years now and I don't regret downloading it, after reading the comments I am deeply confused, There are no bugs and no wifi problems, keep the good work up supercell! P.S just a suggestion, I would love to have a feature that allows you to attack your own base so it would be easier for base designers to build a perfect base. In conclusion this is a great game!",5
"An addictive multiplayer game. Plenty to do. Purchases actually punished by unbalancing player development. Only purchase worth having is the £4.50 monthly gold pass. But even that is not necessary to enjoy playing. Have been playing for about 10 weeks now and can see why some friends have been playing for years. Only problem is the ongoing connection issues, which have got to be a major pain after latest content upgrade.",5
"This game is really great and I love it but the only problem I have is that whenever I try to play the game, it kicks me out of the loading screen for some reason. I use an android device and whenever there are notifications or any background apps running, it kicks me out. I have disabled notifications and closed my background apps and it sometimes just doesn't work. Please fix this and I might rate it a 5 stars.",4
"The game is AWESOME, love the clan capital and the raids medals we get. The game is fun and non addicting but one huge problem that I face- the game rarely loads. I try to open the game, the loading screen shows and the bar goes full, but then the screen just goes black. This repeatedly happens and I became tired of it so I had to uninstall the game. Hope you fix this issue so I can play the game again",2
"Incredible game just a classic, and the new updates are amazing, I love the pace of the game not too slow to where you're waiting ages for upgrades, but slow enough for you to have things to do each day. The battles are 10/10. If I were to add anything though, I would make creating and getting more clan members easier somehow. After the removal of global chat it's been really difficult to build new clans",5
"The game is extremely fun once you learn the gameplay loop of attack to gain loot, then upgrade over and over. Thing is that works until about Townhall 8 or 9 and that will keep you busy for about a year. Once you hit Th 10 or higher, it has almost become work to maintain intrest because the wait times to upgrade and train troops to attack takes to long. (Builder base is the best in app solution but that only counts for the first 3 successes. Then it pointless to be on the base.)",4
"Love it. It is so much fun and even though all you have to do is check on it every few hours be ause the upgrades start to take longer, it is still fun to attack people while I'm waiting for something to finish. You should get it it's really a lot of fun. And alo the only game on the play store that has no ads, or just maybe very rare ads.",5
"Difficult to balance other life activities while ensuring that your base and your builders are always working optimally. I need to learn either not to care all the time (set a schedule?) or if it's too addicting I should probably quit. But it is interesting and fun to learn about the mechanics of the game and to develop bases and attack strategies. Addicting, but fun.",4
"Great experience before, but now I have a major Pproblem that seemingly came out of the blue; crashing. When I first downloaded this app for the first few months it ran smoothly, but now out of nowhere I'm starting to crash a lot. So much the game has became unplayable and I've tried to find solutions. I re-downloaded the app which temporarily fixed it but a few minutes later I got the same problem again.",3
I absolutely love this game. I have been playing this game for like 8 or 9 years and it still hasn't gotten boring. I would like supercell to create an option to where you can attack your own base to practice difference base layout attack strategies that are not in the practice panel. The game is still good regardless but it would still be interesting to have this option.,5
"The game is good I like it but idk what the hell is going on lately, even when I have perfect wifi and network connection toe game starts to tell me that I have wifi problems and while I'm attacking, the attack keeps going so I believe despite the sign I did my 100% but when I come back to the game it says that I only did like 85% when I clearly finished my attack. It has already happened twice and one more time today during the league! Because of that I'm losing and it's really annoying.",3
"great game overall, creative and dynamic. The only thing that I didn't like as much is that the game has a slight pay to win vibe and it requires a lot of time and sweat in order to complete it. It could take years until you max everything out and before you even can there will always be more to upgrade so that is something that seems like too much. Also a good suggestion would be to make gems cheaper or easier to get. The gem mine was good but it's very little the amount is gives.",4
"I've been experiencing crashes for 3 months and the disaster still exists, it crashes whenever I log into the game, checking the clan capital, checking the war (including war leagues), accidently pressed 2 building at the same time (even walls), and even when i'm trying to type in the chat. Oh sure I have a laggy phone but still, I need a massive performance boost such as disabling shadows, resolution, and effects. If you could add an option to optimize performance i'd be more than satisfied.",1
"Everything about the game works, I just have 1 big problem. Dont play this game on wifi, only use mobile data. Ive found if my wifi dips for even a second, the game says connection lost. This usually happens during raids, which is frustrating as it costs troups and trophies. I have tried this on multiple wifi networks. Wish it would get fixed, a game should be able to run for more than a second if the wifi dips a little bit.",4
"really smooth and easy but, when searching for a battle it should automatically choose the ones with the most loot so you don't have to press the search button so many times. A new problem recently is that the textures aren't loading, so it just looks like a black mess. Over all a four star game, still, I do recommend.",4
"it has a great graphics and calligraphy and was great to kill time if you dont have anything to do in home. especially during this quarantine. Hello supercell we happen to encounter a bug in the war where we cant attack the certain player saying that ""You can't attack this player tru again later"" ehat was that?? I'm trying to attack it for almost 2 hours now and yet I cant attack the base. There are 2 player in 30 vs 30. Thanks for fixing the bug but we didn't attain full star because ofthe bug",5
"Great Update. So glad you guys went through with a Mega Base idea and it was incorporated really well. Everyone gets a chance to participate and you even buffed the Trader while you were at it. Love how a newer, more detailed art style was used with the buildings since why not take the chance to, and the music fits the theme really well. Only issues are just minor bugs, like the Home Village becoming blurry after visiting the Clan Capital. Still, great update to start the year. I'm so hungry...",5
"Great game, it would have been 5 stars of it weren't for the new update. The clan capital update is good don't get me wrong, it's the new sound effects of stuff and for some reason my base is now low quality, if this is a bug hopefully it gets fixed. If it isn't I'd recommend to put the HD stuff and the normal sound effects back.. EDIT: they fixed the sound effect issue but the base is still low quality but at least they fixed the sounds, I'll be giving it a 5 stars now.",5
"Great game, I'm had lots of fun and I'm currently Town Hall level 8. The game is easy to progress, challenging and all the building prices are good. What I would suggest though is that when you are attacking and you lose connection, it doesn't forfeit the match and instead ends it with no loss of trophies.",4
It's an alright game. I check it about twice a day. At low levels you can sink a bit of time in building stuff but as you start to level up any upgrade usually take a full 24hours or longer. It gets to the point where if you want to do anything in the game youre really urged to pay for progress. If you don't mind waiting massive amounts of time though then the games alright.,3
Plz supercell fix the problem. After recent updates the starts to crash when it opened. By showing black screen and also the game load lately. After loading the doesn't work properly for a while. So my to the team of supercell fix it out. Because we like the game and doesn't want to lose it out. Hope you will soon make it better. 😞😢,5
A very fun and interesting game. But I had to change my mind recently because of the server. I've recently attacked a base and 3 starred it and the game reloaded again and made me lose 35 trophies (my network connection was very good)... and this isn't the first time this happened to me. Can you plz fix this issue?... I lost many trophies because of this,4
"It's a good game that i have been playing for a while now. The only problem? It disconnects you in the middle of an attack or worst when your attacking for clan wars and when it gets you disconnected then you lose stars/trophies. My internet is fast but somehow this app says i have a bad connection. It's not my phone or an update on the app. If they can fix this, it's a 5 no doubt.",1
"Great game... Been playing for 5 years now and it was all fun and exciting with different kinds of design, potion or base but recently I encountered a big bug and i the screen goes blank or black.. And it always happen when Im login in or tap setting button or in war too which is a very big problem for a player who spend a lot of time into this game and now I don't wanna leave it coz of the hardwork i took to build my base so please fix this as soon as possible also thanks for the great design.",3
"I have been playing for long and have never been really disappointed with this game. However, as other ratings state, there are connection problems, which one happened to be during clan wars for me. I had 2 stars and 96% and the connection got lost. When I rejoined, I had no second attack or any stars and we lost the war with a 2-star difference. I believe you should improve the progress of raids after a connection cutoff, like keeping on processing the attack with all the deployed forces",5
"Best game ever. No ads. But I keep getting ""Your defense lost!"" And I can't upgrade my defenses because I need more gold then my gold storages can hold to upgrade the village. The upgrade time takes pretty long and the gems required to skip is more than I can afford! My elixir runs out too when I'm upgrading the gold storages so yeah. However, this doesn't bother me much because I know this game is supposed to be challenging and takes time. You should consider downloading it.",5
"Great game without the need for quick reflexes. Multiple styles and concepts especially good as a team game (clans), but you can't compete successfully without spending money ☹ Update 2022. Still playing, still paying (about $5 a month). I play every day for about 30 minutes to make sure I'm doing my part in the build of the clan. Supercell keeps improving the game, but I wish they would add to the builder's village.",5
"Playing almost 10 years, not a bad game but it's getting busy. As if 2 bases wasn't enough, this new update now makes you take care of a 3rd base that does almost nothing for you, just one more reason to never put your phone down. Too much going on, too many side quests, events, wars, they pretty much want you to play 1-2 hrs a day, every day, or get kicked from your clan for not doing enough. They need to relax it a little, it feels like you have to log in 10x a day. It's becoming a chore.",3
"I've been playing this since release, it is great. But one big problem, lately I've been experiencing crashes when I click attack, and when it doesnt crash on that moment, then it will crash when it ends (where the stars appear) This situation is okay in a casual battle, but in clan war/clan capital raid, it's not okay. The game counts my attack but I don't even get my troops deployed. It sucks",2
"From the last update of clan capita the game is always showing black screen and if it opens which occur rarely when I want to go to the clan capital it again crashes and shows black screen. I had made a huge progress and i don't want to lose this. I had tried all the tricks like clearing catch data,updating both Android system web view and chrome but it didn't work. I request supercell to pls look into this matter as many of players are facing this problem...",4
"It is a very good game. I love it. But we need justice. For example : if we attack a base 100% = 27 trophies and loose = 29 trophies, if we get 50% We get only 2 or 5 in that war thats fare. But if we loose at 49 % the trophies correctly minus -29 . But why ? You should decrease the minus trophies to 13 or 15 . Most of us are like this . Many get angry and uninstall the game . Everyone would like if you bring this feature in the next update . Even though the game has great graphics. Thank you 🙂",5
"I've played this game for over 6 years across multiple accounts, and yet it never ceases to entertain me. All the grind and customization really piques my interest, and the chief reason for why I have never gotten bored is the seasons which provide a really easy way to get magic items, which previously were very difficult to obtain. Best 5 pounds I've spent every month. Overall, this game is really good, interactive and player friendly from the tutorial all the way to max.",5
"Ok having played since 2018 this game is really fun, progressing is ok leveling up is ok as well you can use money to upgrade in game and also to upgrade your troops and that does give an advantage to players although I wouldn't personally call it pay to win. In this game skill does play a very important role and no matter how much money you spend on the game without skill you can't win. Edit:Tysm for fixing the loading bug. Now i can continue playing it just like before. Still cant do 5 stars.",4
I've been playing this game since I was a kid. It's a huge grind and alot of it is upgrading your buildings. It's can take up to like 10 days to upgrade a building in the higher levels but it's still super fun to watch your village grow. I also love the cute animations that they make for the game. It's definitely a game that's up there with minecraft for me.,5
"I used to regularly play this game before the recent update. After the recent update, as soon as I open the app, it just shows a black screen and crashes on its own. Tried uninstalling and reinstalling the app a number of times, but it still shows a black screen and crashes on its own. Please let me know how to fix this issue. (Will update rating post receiving any response and if the issue is sorted)",1
"I changed it to 4 stars because everytime I update it to a newer version it crashes right away, it fails even though I have strong data and wifi connection. When it goes to 100% it goes back to 0% to reinstall again and I always need to reboot my phone, clear data and clear cache. That's all my feedback for now. Please fix the issue.",4
I've been playing this game from last four years. And its really addictive. But the upgrading time of buildings and troops are so annoying. I think you should reduce the upgrade times of building for upper level townhalls. That will save a lot of time of players. Over all its a very fun game.,5
"Graphics are very creative and entertaining. The buildings the weapons and everything else are so life-like yet cartoonish. The sceneries are on a checker board ""village"". All the characters and setting are unique and collaborate well. It's a game of strategy that takes the ""edge"" off mind-numbing plotting attacks or defense strategies. A decent outlet for anybody with general anxiety or just bored.",4
"The rating system is quite, bad to say the least. In both villages i progress through the rating faster than i progress in terms of upgrades. So im forced to fight enemies that are way stronger than me, everytime i lose the rating will go down and that will make things balanced... for a few fights. After that it repeats.",3
"Why does the game keeps crashing with a black screen everytime I try to open the game or click any button inside the game?Happening since last year's Novmber.Been playing for 6-7years,never faced any issue.Even in play store there are lot of reviews pointing this issue. Fix this! There are so many reviews pointing this issue, still you're not fixing it or doing anything! Don't you care about your players Supercell? Seems like a massive uninstallation wave is coming soon if this continues.",3
"I've been playing this game since 2013-14 when I was a child and the max was th10. It's a great game, with its flaws like every single game to ever exist, but I never felt stuck when upgrading my village. For sure, it gets slow, reaaally slow, but that's something I really like since I don't truly enjoy a game where I need to dedicate my soul to. Time passes and you get better. That's it. And, at least for myself, the feeling I get of progress is amazing. sry for eng.",5
"This game is good. But when the clan games starts, everything just gets unsettled. In multiplayer attacks, it takes very long time to search and gives tough bases for really low, like 2-5 trophys.Many times i faced, after deploying some of my army in a attack, it can't be deployed anymore. Half of the troops still left but no buttone is working except surrender. Thus, this cause a defeat. This is so irritating. Why it have to messed up during clan games?? Please fix this issues to make us Enjoy.",1
Was great. But not now. Ever since the update the game has been bugging out. I try to battle someone and then it crashes. I reload the game and it says I'm in a battle but I never once seen who I was battling nor was I able to send troops. So 4 battles in a row I lost because the game crashed before it even loaded. Iv been playing the game for more than 8 years and now I'm thinking about deleting it because it's no longer fun to play. And people wonder why nobody likes or does updates.,2
"Every time I try to use the boat to go to the builder base, my screen turns black and my game crashes shortly after. This also happens when I try to open the season menu (where you see all the tiers & such). Edit: The issue still persists and it's gotten worse. I can't even get into the game anymore. I've tried contacting Super Cell and I tried all troubleshooting solutions they listed. Nothing works.",1
"I hope anyone hear my complaint, I'm a new player and I noticed that when I attack someone and I am confident that I will win upon him and suddenly, my internet disconnect for just a minute!! Surprise you are lost, so my opinion to you when any player attack with his huge army and the internet disconnected for any reason, you (developers) can make the army attack automatically and regardless of the results but at least we will do our best. 🙏",4
"For the past months, Builder Base have been notoriously hard to grind for but the matching system quite improved. Last year most of of my opponents are rushed but their troops aren't so it's been a struggle, now I rarely matched with rushed Builder base, it's a big relief honestly. And with more events I can gather more loots. Keep up the goodwork supercell!",4
"gameplay is alright but building and upgrading things just takes too long, and uses too many resources. Where I am at everything will take atleast a week to build or upgrade, and upgrading walls just cost too much even though pretty much no one uses land troops, unless they can either dig below the wall or just jump over it",2
"I love this game, and I grew up with it through my early childhood. After this update however, it started to crash a lot. It never did before hand but now it just crashes within 20 seconds of playtime. Maybe they could fix thus but other than that, I love the game but cherished the classic Clash of Clans.",4
I'd like to start off by saying I do really enjoy playing this game... when you have your heroes to attack with. And that's why I give it only three stars. Later on in the game you spend months (and that's with the goldpass) upgrading your heroes per townhall. You feel useless every time they're down for upgrade. Honestly just let us use them while they're upgrading. Because right now the game becomes an unenjoyable farming experience while you wait on your heroes to finish. For MONTHS...,3
"Honestly, Great game Supercell Y'all did an amazing job on this game, I've been here since around 2010 or so. The graphics are good, challenging tactics, and a super duper slept on story. Overall to leave it short and sweet, pick this game up if you're looking for a game that you don't want to be a chore, fun, brain-challenging, but simple.",5
"Great game but lately there was this bug that bothers me so much which is a bug when you're getting a personal break after too long without shield. I have a 16h guard shield but i can't attack other villages anymore because the game keeps telling me to do a break from the game. But I've already done that and the game still kick me out the game and won't let me attack other villages. Other than that its a very good game not gonna lie, i highly recommend it.",4
"Though the upgrades are a bit too long when you get high leveled town hall, i like the fact that you can play the game anytime, like you dont have to be online in this certain time with a duration on how long you have to stay in the game or when you start you arent needed to play for like an hour. The graphics are insane and the game itself is just catchy, its a type where you can just keep the app in your phone and not even think of uninstalling it.",5
"Form the last updated of clan capital the game is always showing black screen and if it opens which occur rarely when I want to go the clan capital it again crashes and show black screen. I had made a huge progress and i don't want to lose this. I had therid all the tricks like clearing catch,data, updating both Android system web view and chrome but it didn't work. I request supercell to pls look into this matter as many of players are facing this problem.🙏😟😥",1
"In March, My COC keep crashing that's why I uninstalled it. But Last week I installed it again because I missed playing it but the bug is there. I tried to uninstall and install it over and over again after that it still there that's why I tried different methods to fix it. But then again I knew my phone wasn't the problem but the game itself. I will change my review if I stop experiencing this issue ever again. COC Dev, please fix this issue since a lot of people have been experiencing this.",2
"Great game! Just takes too much time... I have been playing this game on and off since release, and I always end up coming back to it. What stops me from playing here and there is the amount of time it takes to progress. Since release I've only made it to TH 11. It's hard to balance real life with this game if you want to progress fast(unless you use the micro-transactions). Gave it 4 stars due to the fact that it takes forever to progress if you don't play 24/7.",4
"Verry great game. Verry little bugs happen, when bugs happen they get patched quickly. Other than slight bugs once in a blue moon its a perfect game, paitence is key. Would love to see some kind of mini game situation for when every builder is buisy and nothing else is happening. A daily base attack challenge mini game that gives rewards would be awesome, basically games to help farm potions, gems, capital gold and more, similar to the campain but on a daily rotation with different rewards. 5/5.",5
"Edited this review from 5 to 2 stars... It's been too much now, the game is crashing a lot, can't even open the game and do a simple task of opening the CWL map, before the Clan Capital update as well it was crashing but I kept my patience, but after the update the crashing problem became 5×, so can't bear this problem anymore, making the experience of my most favourite game a nightmare, can't even look at my home village zoomed out for 10 secs without crashing. Am disappointed SUPERCELL.",2
"Very nyc game..., used to be..but after the recent update it stopped working properly. Screen is going black.., every time i change between any kind of village or transition, can't even play..since 99%of times it does not start properly, really annoying, and sometimes idk why after trying many many times id starts 😔🤬.. Please.... Do something about it fast!..... Like soon please... Or else just close it... Save ours and yours.. Everyone's time! 🙁",1
"Very nyc game..., used to be..but after the recent update it stopped working properly. Screen is going black.., every time i change between any kind of village or transition, can't even play..since 99% of times it does not start properly, really annoying, and sometimes idk why after trying many many times id starts ..Please.... Do something about it fast!...... Like soon please... Or else just close it... Save ours and yours.. Everyone's time!",1
"Very amazing game and experience. It's upgrades, strategies, attacking and now capital gold is just making more addictive. One tiny thing: the upgrades in this game consume a lot of time. Other than that, it's an anazing with amazing features and ne being a coder knows how complex code can be when u code every troop separately and combine them!!!",5
"Love it, had no issues playing it. BUT for last two days, my game can't be open. When I click the game icon, black screen appears and then it crashes every time. Please fix it. I'm not worried about my account, i have it backed up by supercell but if possible i would like to play the game 😅",3
"This game is good . I think none of the game will run like this for years . But there are some issues with this app . The screen suddenly becomes black while opening the game and sometimes doesnot open in somedevices . Please include heroes in war even if they are in upgrade ( you get it ?) . If we upgrade heroes , we dont need it in normal attacks let it upgrade but we badly need heroes in war..... so please bring a new update for heroes in war ...please i req you for this. I hope you will do .",4
"This game is marvelous. This gives me grateful time when playing because it allows you to think logically on how to attack other base. Moreover this game is fun to play. Only thing that I did not like about this game is the upgrading system because it takes to much time to finished one upgrade, the higher the upgrade the longer it takes. But it is a fun game. Obviously!",4
"It's an amazing game but IF you really want the players to go back here's my suggestions. REDUCE the time/countdowns in building armies. After an attack DO NOT remove all ARMIES that were NOT dead. It's very tiring to wait for long period of time to complete your armies every after an attack. The tendency is, it's not enjoyable anymore after an attack you'll wait again for a long time.",1
"its awsome 😍 I love the P.E.K.K.A.S and dragons. but you should add more troops and heros or a custome hero but its cool 😎 and that once in a while that hero skins are free. cuz not everyone can pay. you wuld get more ratings. Update: when getting the town hall at a higher level, it starts getting ridiculous the time it takes to upgrade stuff, A week at most, Its ridiculous man, come on it's still a good game but wuld be better if you know. changed that.",4
"Decent, but the second ""Builder Base"" they added a while ago to help keep us occupied while you are building an army or doing upgrades is now useless. I've had that 2nd base maxed out for over a year, and there's literally no more to play for. My stocks are full so if I win a battle, it just tells me my storage is full and I get nothing... But they keep adding to the normal base. So I still play, but not nearly as much.",3
"This new update is having issues, a whole lot of issues, black part on my screens in my base, in clan capital and when I attack, constant crashing, alot of bugs. I'm in Legends league and it logs me out when I'm attacking, I'm losing trophies and it's annoying, please please and please do something about it.",1
"It's a fun game no doubt, but edge close to a pay to win. You can get very far like everyone else but if you don't spend real money to skip upgrades it takes forever. I've been playing close to 3-4 years I think without even spending real money. Now I'm close to upgrading my Townhall to 11. It's a very very long journey.",3
"Its a really cool game, no hackers, no glitches for currencies. Its not pay to win mostly and it has no bugs at all. The only thing that bothers me is the waiting. Like when you get to town hall level 8 the building time is just ridicilous. For a barrack on leve 10 it needs 1 day and 12 hours, and for one xbow it needs 2 days. But it can be fixed with potions, gems and the builder book, so i guess its fair but it just bothers me that for a cross bow i need to wait 2 days.",5
"I give this 1 star because of a problem. I have reached town hall 7 and after that, whenever i open the app everytime, I mean the literal everytime, it is stuck on the loading page saying ""downloading contents"" then after a few seconds it says ""connection lost"". My internet connection is very strong, when I switch to other games the internet is strong but when I open CoC, it always say ""connection lost"". Now I can't open my account. Please fix this problem 🥺 I miss my account 😭",1
"From the last update of clan capita the game is always showing black screen and if it opens which occur rarely when I want to go to the clan capital it again crashes and shows black screen. I had made a huge progress and i don't want to lose this. I had tried all the tricks like clearing catch data,updating both Android system web view and chrome but it didn't work. I request supercell to pls look into this matter as many of players are facing this problem...Fix It plz 😠😠😠",1
"The game is good, but can you fix the troops AI? they always prefer defending troops rather than buildings, WHY?! I HAVE LOST SO MANY BATTLES BECAUSE OF THIS ( 18 to be precise). Also also, the dragons wings, why is it that it looks like the wings are poorly connected to the main body? Though higher level dragons have fixed the problem the lower level visuals is bugged.",4
"The upgrade times are ridiculously long. I mean come on. Why do they have to be so long? I don't understand the concept here. Game would be better if we didn't have to wait days and days for upgrades to finish. I love the game but the upgrade times are keeping it from getting 5 stars. I, along with others would like to see the upgrade times lowered. Hours, fine. Days, unnecessary.",3
"I am rating just four star because this game is good and has good graphics but if you lost connection while attacking you have log in again and you cannot enter the battle again and the only troop you deployed will attack the village and you wins or lose the battle by not supporting your troops.Supercell should fix this problem because it feels bad if you lose the battle and your trophies falls down and cannot gain the loot in the battle, Otherwise this game is too good.",4
"I love the game, and have been playing for a year or two now. However, every single time I try to open the game, it loads for a little while, the bar goes slightly past the word ""Loading,"" then sends me back to the home screen after a bit of lag. I don't know if there's a way to make the game load every time, but eventually I can play. Great game, except for the opening bug. Edit: The bug has been fixed and I can now fully enjoy the game. :)",4
"It's fun building and raiding, but it's getting frustrating with the BH raids cause I'm always put up against a BH a level or two up. This makes it pretty difficult to get resources, which are needed to level things up. Leveling items up is kinda the game, so...... It's getting easier to pass the app when looking to play a game.",3
"I've been playing this game a long time, years in fact. Originally I gave COC 5 stars, I changed my review cause I couldn't get 1 of my accounts to transfer to another device. Contacted customer service got absolutely NO help. I gave them all information concerning the game and still got NO help, so I'm stuck playing the game on a smaller device even though my games isn't lost.",2
"The new update (Clan Capital) has brought me back to Clash of Clans and it's been super fun besides 14 day building times. I don't feel like taking 2 weeks to upgrade something. It's so annoying. I'd buy the gold pass for reduced time but it is still a week and a half so I'm not buying it because it's not worth it. Additionally, clan capital doesn't add many medals either and there aren't any items to speed building upgrades up which is absurd, especially since most of my upgrades take 14 days.",4
I do love this game. I've been playing it for a few years and is always really fun. There are a few things I think need fixing. Builder Hall need more ways to get loot. It's taking for ever to get it done on super easy upgrades. Or nerf the prices. We need a different way to get medals instead of the clan leader picking who gets them. For one if you have 40 or 50 members in the clan. Thats just never gonna be fair. Or if the leader keeps picking the same people. Not fair. But that's it IMP lol.,4
"I got the star bonus and somehow it exited before could collect it so it all went in my treasury which is full so basically I lost out on loads of money which took me ages. They should say 'are you sure?' whenever you select something cause this sort of thing happens all the time. Other than that, it's a good game, despite being obviously designed to be as addictive as possible and to make you click on the game regularly and get you hooked.",3
"I just finished updating the latest version today and was going through the mechanics of the new map. But why is it that whenever I clicked on the 'Practice' button for the raid tutorial, the game suddenly restarts and all troops including siege machines that were in my clan castle disappear? This happened two times now. Please explain.",3
Such a great game bt it takes a lot of time to upgrade items and buildings further. In the beginning upgrades don't take much time like 2-4 hrs but as u progress in game it increases up to 2-4 days and more n more. Except upgrade time the game is just great . I think u should decrease that otherwise I love this. And the new update is decent but graphics are slightly low compared to before. idk I think this or the matter is really like that.,4
Disgusting A.I. like fix your targeting its so bad and it has been for so long. Let us choose things to prioritize or atleast some more control. Had to lose in clan war because my edragon decided to randomly stop attacking the townhall at 1hp and went after a barbarian king who couldn't do ANYTHING to him. 1 star until its fixed. But the game is good apart from that. Definetly reccomend.,1
"No warnings of maintenence, and i get kicked out while in a battle, meaning I'm going to lose trophies through factors i had no control over. I must constantly fight 2 Town Halls higher than me to get even 10 trophies, while one attack from someone my level drops me 30. Where's the incentive to play when I'm constantly punished for playing?",2
"I really like this game very fun👍 been playing it since 2016. unistalled it a while back because of new phone,and now that I reinstaaled it whenever I try to open game my screen goes black and also even if it opens whenever I have to go on a different page like the clan war page or to attack someone or just to edit my base and it is really irritating and after reading other comment seems many people are having same problem so ,I request pls fix it and make the game perfect😀.",4
"Awesome, this game makes me feels victorious because of the battles that I made during the time that I'm playing these also relates to the planning of attacks and upgrading the base inorder to unlock the new weaponry and even new trops and most of time I learned patient to gather gems and buy a worker and it's pretty difficult to earn gems that's why I loved the game to the fact that it is challenging, lastly it improves our capabilities to lay out our base and design our own style of fightings.",5
